Flow Hash,Source IP,Destination IP,Number of Packets,Number of Packets (Scaled to 1000000),Source Port,Destination Port,Average Packet Size,Minimum Packet Size,Maximum Packet Size,Total Bytes,IAT Min,IAT Max,IAT Mean,Label
1339938643101643709,178.128.106.254,37.60.229.253,31,3.1e-05,0.7324025329976348,0.0003356984817273213,0.10627956989247311,0.044,0.8226666666666667,3.294666666666667e-05,1.9884109497070314e-05,4.923038013776144,2.362097830285308,malicious
6798497601212837628,37.60.229.253,178.128.106.254,12,1.2e-05,0.0003356984817273213,0.7324025329976348,0.1425,0.044,0.6946666666666667,1.71e-05,0.00015152295430501301,0.09373800357182821,0.027376363343662686,malicious
8648465249000691335,79.225.178.215,37.60.229.253,25891,0.025891,0.6314488441290913,0.0003356984817273213,0.0798846960977431,0.04,1.004,0.020682946666666667,0.048954967657725015,244.67125855684282,168.50667458461982,benign
-5002599123100151090,46.10.56.170,37.60.229.253,18,1.8e-05,0.8720531013962005,0.007095445181963836,0.07633333333333334,0.044,0.38866666666666666,1.374e-05,0.0004849831263224284,0.1205530842145284,0.05083199033030757,n/a
7425246774238327344,37.60.229.253,46.10.56.170,13,1.3e-05,0.007095445181963836,0.8720531013962005,0.1977948717948718,0.044,1.5726666666666667,2.5713333333333333e-05,0.017997916539510092,0.12055497964223226,0.06380901092138046,n/a
9073877241147167631,37.60.229.253,161.97.189.52,535,0.000535,0.5005722133211261,0.0008087281605249104,0.05937320872274143,0.03933333333333333,0.07866666666666666,0.0003176466666666667,3.931919733683268e-05,913.7365930994351,404.31291409361796,n/a
-8474681658169384588,37.60.229.253,167.114.96.241,2,2e-06,0.0003356984817273213,0.5348287174792096,0.072,0.044,0.1,1.44e-06,0.0016434192657470703,0.0016434192657470703,0.0016434192657470703,malicious
2257368459169952459,167.114.96.241,37.60.229.253,28,2.8e-05,0.5348287174792096,0.0003356984817273213,0.11295238095238094,0.044,0.8226666666666667,3.1626666666666667e-05,0.0016078829765319824,3.4949037551879885,2.3382517496744795,malicious
2103566350186683159,166.62.94.210,37.60.229.253,142,0.000142,0.8678110933089189,0.0003356984817273213,0.1252018779342723,0.044,0.8013333333333333,0.00017778666666666668,0.0026241223017374675,882.5685960451762,409.9459239634829,malicious
-347800511277013353,37.60.229.253,166.62.94.210,13,1.3e-05,0.0003356984817273213,0.8678110933089189,0.13615384615384615,0.044,0.6946666666666667,1.77e-05,0.0026242613792419435,0.07899119853973388,0.018677499355413973,malicious
